# written by /home/mroughan/Reports/Networking/Topology/Waxman/Matlab/Estimation/G.m (Matlab version 0.03)
# written on 01-Jun-2016
# 
# parameters 
#    region = unit square
# format:   s,   G(s)
 0.000,  1.000000
 0.001,  0.999479
 0.002,  0.998958
 0.003,  0.998437
 0.004,  0.997917
 0.005,  0.997397
 0.006,  0.996878
 0.007,  0.996358
 0.008,  0.995839
 0.009,  0.995321
 0.010,  0.994803
 0.011,  0.994285
 0.012,  0.993767
 0.013,  0.993250
 0.014,  0.992733
 0.015,  0.992216
 0.016,  0.991700
 0.017,  0.991184
 0.018,  0.990668
 0.019,  0.990153
 0.020,  0.989638
 0.021,  0.989124
 0.022,  0.988609
 0.023,  0.988095
 0.024,  0.987582
 0.025,  0.987068
 0.026,  0.986555
 0.027,  0.986043
 0.028,  0.985530
 0.029,  0.985018
 0.030,  0.984507
 0.031,  0.983995
 0.032,  0.983484
 0.033,  0.982974
 0.034,  0.982463
 0.035,  0.981953
 0.036,  0.981444
 0.037,  0.980934
 0.038,  0.980425
 0.039,  0.979916
 0.040,  0.979408
 0.041,  0.978900
 0.042,  0.978392
 0.043,  0.977885
 0.044,  0.977377
 0.045,  0.976871
 0.046,  0.976364
 0.047,  0.975858
 0.048,  0.975352
 0.049,  0.974847
 0.050,  0.974341
 0.051,  0.973837
 0.052,  0.973332
 0.053,  0.972828
 0.054,  0.972324
 0.055,  0.971820
 0.056,  0.971317
 0.057,  0.970814
 0.058,  0.970311
 0.059,  0.969809
 0.060,  0.969307
 0.061,  0.968805
 0.062,  0.968304
 0.063,  0.967803
 0.064,  0.967302
 0.065,  0.966802
 0.066,  0.966302
 0.067,  0.965802
 0.068,  0.965303
 0.069,  0.964804
 0.070,  0.964305
 0.071,  0.963806
 0.072,  0.963308
 0.073,  0.962810
 0.074,  0.962313
 0.075,  0.961815
 0.076,  0.961319
 0.077,  0.960822
 0.078,  0.960326
 0.079,  0.959830
 0.080,  0.959334
 0.081,  0.958839
 0.082,  0.958344
 0.083,  0.957849
 0.084,  0.957355
 0.085,  0.956860
 0.086,  0.956367
 0.087,  0.955873
 0.088,  0.955380
 0.089,  0.954887
 0.090,  0.954395
 0.091,  0.953903
 0.092,  0.953411
 0.093,  0.952919
 0.094,  0.952428
 0.095,  0.951937
 0.096,  0.951446
 0.097,  0.950956
 0.098,  0.950466
 0.099,  0.949976
 0.100,  0.949487
 0.101,  0.948998
 0.102,  0.948509
 0.103,  0.948020
 0.104,  0.947532
 0.105,  0.947044
 0.106,  0.946557
 0.107,  0.946070
 0.108,  0.945583
 0.109,  0.945096
 0.110,  0.944610
 0.111,  0.944124
 0.112,  0.943638
 0.113,  0.943153
 0.114,  0.942668
 0.115,  0.942183
 0.116,  0.941698
 0.117,  0.941214
 0.118,  0.940730
 0.119,  0.940247
 0.120,  0.939764
 0.121,  0.939281
 0.122,  0.938798
 0.123,  0.938316
 0.124,  0.937834
 0.125,  0.937352
 0.126,  0.936871
 0.127,  0.936390
 0.128,  0.935909
 0.129,  0.935428
 0.130,  0.934948
 0.131,  0.934468
 0.132,  0.933989
 0.133,  0.933509
 0.134,  0.933030
 0.135,  0.932552
 0.136,  0.932073
 0.137,  0.931595
 0.138,  0.931117
 0.139,  0.930640
 0.140,  0.930163
 0.141,  0.929686
 0.142,  0.929209
 0.143,  0.928733
 0.144,  0.928257
 0.145,  0.927781
 0.146,  0.927306
 0.147,  0.926831
 0.148,  0.926356
 0.149,  0.925882
 0.150,  0.925408
 0.151,  0.924934
 0.152,  0.924460
 0.153,  0.923987
 0.154,  0.923514
 0.155,  0.923041
 0.156,  0.922569
 0.157,  0.922097
 0.158,  0.921625
 0.159,  0.921154
 0.160,  0.920682
 0.161,  0.920212
 0.162,  0.919741
 0.163,  0.919271
 0.164,  0.918801
 0.165,  0.918331
 0.166,  0.917862
 0.167,  0.917393
 0.168,  0.916924
 0.169,  0.916455
